Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,34217-27108,American University of Sharjah,Licensed,"Airport Road, Universities Complex",Sharjah,SH,AE,,06-5585722,GMT+04:00 Asia/Dubai,55.48,25.3
Starbucks,22697-223524,UAQ Drive Thru,Licensed,King Faisal Highway,Umm Al Quwain,UQ,AE,,,GMT+04:00 Asia/Dubai,55.54,25.53
Starbucks,1278-139526,Alto Avelleneda,Licensed,Avenida Gral. Guemes 897,Avellaneda,B,AR,B1870,4204-3785,GMT-03:00 America/Argentina/Bu,-58.37,-34.68
Starbucks,16436-159304,Soleil,Licensed,Yrigiyen 2647,Boulogne,B,AR,1609,,GMT-03:00 America/Argentina/Bu,-57.87,-34.88
Starbucks,47294-254164,Arevalo,Licensed,"Nicaragua 6045, CABA",Buenos Aires,B,AR,,,GMT-03:00 America/Argentina/Bu,-58.44,-34.58
Starbucks,25823-198067,Terrazas de Mayo,Licensed,"Cruce Ruta 8 y 202, San Miguel",Buenos Aires,B,AR,C1663,,GMT-03:00 America/Argentina/Bu,-58.7,-34.53
Starbucks,15008-157047,San Isidro,Licensed,"Belgrano, 263 San Isidro",Buenos Aires,B,AR,B1642,,GMT-03:00 America/Argentina/Bu,-58.51,-34.47
Starbucks,26540-219150,Alvear,Licensed,"Alvear 47, Martinez",Buenos Aires,B,AR,C1640,,GMT-03:00 America/Argentina/Bu,-58.5,-34.49
Starbucks,47751-259030,Plaza Barrientos,Licensed,Larrea 1551,Caba,B,AR,,,GMT-03:00 America/Argentina/Bu,-58.4,-34.59
Starbucks,47750-259026,Bellini,Licensed,Esmeralda 950,Caba,B,AR,,,GMT-03:00 America/Argentina/Bu,-58.38,-34.6
Starbucks,16898-173464,Ezeiza,Licensed,"Autopista Tte. Gral. Ricchieri Km 33,5",Ezeiza,B,AR,B1802EZE,,GMT-03:00 America/Argentina/Bu,-58.53,-34.8
Starbucks,8091-151284,Martinez,Licensed,Av del Libertador Gral. San Martin 13891,Martinez,B,AR,B1640AOJ,4733-9503,GMT-03:00 America/Argentina/Bu,-58.49,-34.48
Starbucks,1271-136936,Unicenter Shopping,Licensed,Parana 3745,Martinez,B,AR,B1640FRD,4717-4898,GMT-03:00 America/Argentina/Bu,-58.52,-34.51
Starbucks,8895-151508,Plaza Oeste,Licensed,J.M. de Rosas 658,Moron,B,AR,B1712HIS,,GMT-03:00 America/Argentina/Bu,-58.65,-34.63
Starbucks,15006-157046,Champagnat,Licensed,"Ruta Panamericana KM 54,5",Pilar,B,AR,B1629,5530-7329,GMT-03:00 America/Argentina/Bu,-58.92,-34.45
